platform,keyword,komentar,timestamp,sentimen
twitter,tempo babi,Hasan Nasbi mengundurkan diri dari Kepala PCO setelah 8 bulan mengemban jabatan. Hasan sempat disorot saat menanggapi teror kepala babi kepada jurnalis Tempo.,2025-04-29T07:50:00.000Z,
twitter,tempo babi,Baru teringat bhw Pak Hasan Nasbi tergelincir saat dia memberikan komentar ttg teror kepala babi yg dikirim netizen ke majalah Tempo.. ternyata beliau Pak Hasan tdk sanggup utk comeback stlh banyak hujatan kepadanya...  ,2025-04-29T07:49:54.000Z,
twitter,tempo babi,tempo gak ikutan ngirim pala babi.. ehh karangan bunga ,2025-04-29T07:46:07.000Z,
twitter,tempo babi,"Hasan Nasbi, mantan Kepala PCO, mengundurkan diri pada 21 April 2025 karena masalah yang tidak bisa diatasi. Blunder utamanya adalah komentar kontroversial tentang teror kepala babi yang dikirim ke jurnalis Tempo. Ia berkata, ""Masak saja,"" yang dianggap meremehkan, apalagi saat",2025-04-29T07:41:13.000Z,
twitter,tempo babi,"Saya bisa tahu konteksnya karena saya menganalisis data real-time dari web dan X. Frasa ""Kaget gak?"" dari 
@BocorAlusPol
, yang terkait dengan Tempo, kemungkinan merujuk pada kontroversi Hasan Nasbi. Dia mengundurkan diri pada 21 April 2025 setelah komentarnya tentang kepala babi",2025-04-29T07:40:16.000Z,
twitter,tempo babi,"Rekam Jejak Hasan Nasbi, Komentari Teror Kepala Babi ke Tempo Dimasak Saja",2025-04-29T07:34:20.000Z,
twitter,tempo babi,"Rekam Jejak Hasan Nasbi, Komentari Teror Kepala Babi ke Tempo Dimasak Saja",2025-04-29T07:33:47.000Z,
twitter,tempo babi,"Hei 
@Ardhi_addhi
, aku tahu karena aku dirancysics 3 dibuat oleh xAI, yang memberiku akses ke info terkini dari web dan postingan X. Soal Hasan Nasbi, dia mundur sebagai Kepala PCO pada 21 April 2025 setelah kontroversi komentarnya tentang kepala babi yang dikirim ke Tempo pada",2025-04-29T07:29:40.000Z,
twitter,tempo babi,bro memasak dirinya sendiri seperti kepala babi yang dikirim ke kantor tempo (sampai gosong),2025-04-29T07:23:25.000Z,
twitter,tempo babi,"[BREAKING] Hasan Nasbi mengundurkan diri dari jabatan Kepala Kantor Komunikasi Presiden atau PCO.

Sebelumnya, Hasan Nasbi sempat membuat geger akibat komentar ""dimasak saja"" terkait kasus pengiriman kepala babi kepada jurnalis Tempo.",2025-04-29T06:21:30.000Z,
twitter,tempo babi,Hmmm pasti dendam banget ama tempo dan kepala babi...,2025-04-29T06:18:20.000Z,
twitter,tempo babi,Fiquei um bom tempo com a respiração ofegante. Pensei real que fosse algo. ,2025-04-29T04:57:34.000Z,
twitter,tempo babi,"Hahahahahaha, pior que lembrei da Vilmoca na hora! Ivete dedicou tempo de vida na letra, pro Diogo fazer essa lavagem cerebral na galera!",2025-04-29T04:37:34.000Z,
twitter,tempo babi,"nem precsa estudar antropologia, psicologia e sociologia. o ensino básico tá falhando com pessoas como vc, mas dá tempo de correr atrás",2025-04-29T03:21:57.000Z,
twitter,tempo babi,"era babi e coringa, voltan e bak, voltan e crusher mas nunca babi e voltan estou chateada cmg msm q descobri faz pouco tempo isso",2025-04-29T03:20:55.000Z,
twitter,tempo babi,As trilhas sonoras das novelas mereciam muito mais tempo do que isso aí #TVGlobo60Anos,2025-04-29T03:13:30.000Z,
twitter,tempo babi,"Quanto tempo gasto em sertanejo vei, que chaticeeeeeee #TVGlobo60Anos",2025-04-29T03:12:47.000Z,
twitter,tempo babi,"Vcs tão lendo muito além, gente. O preto e branco e só pq a novela é do tempo da tv em preto e branco. Não tem crítica nem recado nenhum.",2025-04-29T03:09:05.000Z,
twitter,tempo babi,inclusive queria ter chorado hoje mas não deu tempo,2025-04-29T02:14:55.000Z,
twitter,tempo babi,"FICO CHOCADA, O TEMPO SÓ TE VALORIZA

AAAAAA AS VILÃS #TVGlobo60Anos",2025-04-29T01:57:42.000Z,
twitter,tempo babi,"Acho n q vai ser tão difícil, inclusive acho q uma das amgs da minha irmã (ou professora n lembro, faz tempo q ela falou disso) tava fazendo tcc ou outra coisa na area de voz, especialmente p pessoas trans, entt",2025-04-29T01:55:49.000Z,
twitter,tempo babi,Também acho. Amei a chegada da Odete e a Heleninha tá como a personagem pede. Mistura de humor com o drama. Veja na cena do parto da Fátima ou do mambo caliente. A gente ria e sentia pena ao mesmo tempo,2025-04-29T01:42:07.000Z,
